문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q6047,L03,1,개념확인,학습,"직육면체의 표면적을 구하는 공식으로 옳은 것은? (가로 a, 세로 b, 높이 c)",2(ab + bc + ca),직육면체는 서로 합동인 3쌍의 직사각형으로 이루어져 있으므로 표면적 = 2(ab + bc + ca)이다.,ab + bc + ca,L03,합동인 면이 2쌍씩이므로 ×2를 해야 한다.,2abc,L04,2abc는 부피 공식이 아니며 abc가 직육면체의 부피이다. 표면적은 2(ab+bc+ca)이다.,4(a+b+c),L03,이 식은 표면적 공식이 아니다. 6면의 넓이를 합산해야 한다.,2(a+b+c),L03,이 식은 직육면체의 겉넓이가 아니다. 표면적은 2(ab+bc+ca)이다.,
Q6048,L03,1,계산,학습,"가로 2 cm, 세로 3 cm, 높이 4 cm인 직육면체의 표면적은?",52 cm²,표면적 = 2(2×3 + 3×4 + 2×4) = 2(6+12+8) = 2×26 = 52 cm²이다.,24 cm²,L04,2×3×4 = 24는 직육면체의 부피이다. 표면적은 2(ab+bc+ca)로 구해야 한다.,26 cm²,L03,26은 2(ab+bc+ca)를 계산하다가 ×2를 빠뜨린 값이다. 표면적 = 2×26 = 52 cm²이다.,48 cm²,L03,잘못된 계산이다. 표면적 = 2(6+12+8) = 52 cm²이다.,36 cm²,L03,잘못된 계산이다. 표면적 = 2(2×3+3×4+2×4) = 52 cm²이다.,
Q6049,L03,1,개념확인,학습,구의 표면적 공식으로 옳은 것은? (반지름 r),4πr²,구의 표면적은 4πr²이다. 이는 구를 여러 방향으로 잘라 공식을 유도할 수 있다.,πr²,L03,πr²는 원의 넓이 공식이다. 구의 표면적은 4πr²이다.,2πr²,L03,2πr²는 표면적의 절반이다. 구의 표면적은 4πr²이다.,(4/3)πr³,L04,(4/3)πr³는 구의 부피 공식이다. 구의 표면적은 4πr²이다.,2πr,L02,2πr는 원의 둘레이다. 구의 표면적은 4πr²이다.,
Q6278,L03,1,선택형,학습,한 모서리의 길이가 5 cm인 정육면체의 표면적은?,150 cm²,정육면체 표면적 = 6 × (한 면의 넓이) = 6 × 5² = 6 × 25 = 150 cm²,125 cm²,L03,6면을 세지 않고 5³=125로 계산하는 부피 혼동,30 cm²,L03,한 면의 넓이만 계산하는 오류,100 cm²,L03,6면 대신 4면만 계산,25 cm²,L03,한 면의 넓이만 구하는 오류,
Q6279,L03,1,선택형,학습,"가로 4 cm, 세로 3 cm, 높이 6 cm인 직육면체의 표면적은?",108 cm²,표면적 = 2(ab + bc + ca) = 2(4×3 + 3×6 + 6×4) = 2(12+18+24) = 2×54 = 108 cm²,72 cm²,L03,2를 곱하지 않고 ab+bc+ca=54만 계산,144 cm²,L03,각 면을 2배로 잘못 계산하는 오류,84 cm²,L03,한 쌍의 면을 누락하는 오류,96 cm²,L03,일부 쌍 계산 오류,
Q6280,L03,1,선택형,학습,반지름이 4 cm인 구의 표면적은?,64π cm²,구 표면적 = 4πr² = 4π × 4² = 4π × 16 = 64π cm²,16π cm²,L03,4πr²에서 4를 빠뜨리고 πr²만 계산,32π cm²,L03,4πr² 대신 2πr²로 계산하는 오류,256π cm²,L03,r²=16 대신 r³=64로 계산하는 부피 혼동,8π cm²,L03,r=4를 r=2로 잘못 대입,
Q6509,L03,1,개념확인,학습,"원기둥의 옆면의 넓이 공식으로 옳은 것은? (밑면의 반지름 r, 높이 h)",2πrh,"원기둥의 옆면을 펼치면 가로=밑면 둘레=2πr, 세로=높이=h인 직사각형이 된다. 옆면 넓이=2πrh.",πr²h,L03,πr²h는 원기둥의 부피 공식이다. 옆면 넓이는 2πrh이다.,2πr²,L03,2πr²는 원기둥 두 밑면의 넓이의 합이다. 옆면 넓이는 2πrh이다.,πrh,L03,2를 빠뜨린 오답이다. 옆면을 펼치면 가로=2πr이므로 넓이=2πrh이다.,4πr²,L03,4πr²는 구의 표면적 공식이다. 원기둥 옆면 넓이는 2πrh이다.,
Q6510,L03,1,계산,학습,한 면의 넓이가 9 cm²인 정육면체의 표면적은?,54 cm²,정육면체는 6개의 합동인 정사각형 면으로 이루어져 있다. 표면적=6×9=54 cm².,36 cm²,L03,4면만 계산한 오답이다. 정육면체는 6개의 면이 있다.,27 cm²,L03,3면만 계산한 오답이다. 정육면체는 6개의 면이 있다.,9 cm²,L03,한 면의 넓이만 답한 오답이다. 정육면체는 6개의 면의 넓이의 합이 표면적이다.,81 cm²,L03,9²=81로 잘못 계산한 오답이다. 표면적=6×(한 면 넓이)=6×9=54 cm²이다.,
Q6511,L03,1,계산,학습,"밑면의 반지름이 3 cm, 높이가 4 cm인 원기둥의 옆면의 넓이는?",24π cm²,원기둥 옆면 넓이=2πrh=2π×3×4=24π cm².,12π cm²,L03,반지름×높이=3×4=12로 2π를 빠뜨린 오답이다. 옆면 넓이=2πrh=24π cm²이다.,9π cm²,L03,πr²=π×9로 밑면 넓이를 계산한 오답이다. 옆면 넓이는 2πrh=24π cm²이다.,48π cm²,L03,2πr×h를 두 배로 계산한 오답이다. 옆면 넓이=2πrh=24π cm²이다.,18π cm²,L03,2πr²=2π×9=18π로 밑면 공식을 혼동한 오답이다. 옆면 넓이=2πrh=24π cm²이다.,
Q6512,L03,1,계산,학습,반지름이 5 cm인 구의 표면적은?,100π cm²,구의 표면적=4πr²=4π×5²=4π×25=100π cm².,25π cm²,L03,πr²=π×25으로 원의 넓이 공식을 사용한 오답이다. 구 표면적=4πr²=100π cm²이다.,50π cm²,L03,2πr²=50π로 계수를 2로 잘못 쓴 오답이다. 구 표면적=4πr²=100π cm²이다.,500π/3 cm²,L03,(4/3)πr³=(500/3)π는 구의 부피이다. 표면적=4πr²=100π cm²이다.,20π cm²,L03,4πr=4×5π=20π로 r²를 r로 잘못 계산한 오답이다. 표면적=4πr²=100π cm²이다.,
